endpoint,category,method_hints,source_count,source_files,sources_sample,observed_statuses
/api/homework/,homework,DELETE; GET; OBSERVED_GET; POST; PUT; UNKNOWN,28,16,raw/ilearn.thu.edu.tw/api/homework/index.json; raw/ilearn.thu.edu.tw/static/42585.3fa356ed.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/45685.4e07b7a7.js; raw/ilearn.thu.edu.tw/static/55200.e380810d.js; raw/ilearn.thu.edu.tw/static/66297.9aa2f6d5.js; raw/ilearn.thu.edu.tw/static/70619-686c4819.js; raw/ilearn.thu.edu.tw/static/72088.556a45f3.js; raw/ilearn.thu.edu.tw/static/74302.a9e02d94.js; raw/ilearn.thu.edu.tw/static/74613.79d89a15.js,404
/api/rollcall/,rollcall,DELETE; GET; POST; PUT; UNKNOWN,28,14,raw/ilearn.thu.edu.tw/static/18326.bedfc73f.js; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/68805.a47db79c.js; raw/ilearn.thu.edu.tw/static/71196.5077b7df.js; raw/ilearn.thu.edu.tw/static/7693.6ddfbed1.js; raw/ilearn.thu.edu.tw/static/85489.5300ac04.js; raw/ilearn.thu.edu.tw/static/86422.36d3f50f.js,
/api/course/activities/,course,GET; OBSERVED_GET; POST; PUT; UNKNOWN,27,15,raw/ilearn.thu.edu.tw/api/course/activities/index.json; raw/ilearn.thu.edu.tw/static/13149-ab088423.js; raw/ilearn.thu.edu.tw/static/42585.3fa356ed.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/45685.4e07b7a7.js; raw/ilearn.thu.edu.tw/static/55200.e380810d.js; raw/ilearn.thu.edu.tw/static/66297.9aa2f6d5.js; raw/ilearn.thu.edu.tw/static/70619-686c4819.js; raw/ilearn.thu.edu.tw/static/74302.a9e02d94.js; raw/ilearn.thu.edu.tw/static/76756.7b06f21b.js,404
/api/my-courses,my-courses,OBSERVED_GET; POST,27,27,raw/ilearn.thu.edu.tw/api/my-courses.json; raw/ilearn.thu.edu.tw/static/10035.853f7abc.js; raw/ilearn.thu.edu.tw/static/15134.740fc306.js; raw/ilearn.thu.edu.tw/static/20307-0fd301f4.js; raw/ilearn.thu.edu.tw/static/24381.0c635568.js; raw/ilearn.thu.edu.tw/static/27589.ae3b1ca0.js; raw/ilearn.thu.edu.tw/static/37192.d0839c93.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/41789.52c6778d.js; raw/ilearn.thu.edu.tw/static/42585.3fa356ed.js,200
/api/users/,users,DELETE; GET; OBSERVED_GET; POST,27,27,raw/ilearn.thu.edu.tw/api/users/index.json; raw/ilearn.thu.edu.tw/static/11812.92e9ccfe.js; raw/ilearn.thu.edu.tw/static/14631.e54876b2.js; raw/ilearn.thu.edu.tw/static/14928.ccbfea64.js; raw/ilearn.thu.edu.tw/static/19619.6081b084.js; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/24262.bfbc60d3.js; raw/ilearn.thu.edu.tw/static/24712-18317acc.js; raw/ilearn.thu.edu.tw/static/25170.2159310c.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js,404
/api/shared-resources/,shared-resources,DELETE; POST; UNKNOWN,26,15,raw/ilearn.thu.edu.tw/static/25753.6c691880.js; raw/ilearn.thu.edu.tw/static/30801-25982468.js; raw/ilearn.thu.edu.tw/static/32177.f2bc5d50.js; raw/ilearn.thu.edu.tw/static/34423.a5cefcd5.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/50446.4b9b0bcc.js; raw/ilearn.thu.edu.tw/static/63756-b6ed5817.js; raw/ilearn.thu.edu.tw/static/6670.d8c7a443.js; raw/ilearn.thu.edu.tw/static/67133.08e1a687.js; raw/ilearn.thu.edu.tw/static/70536.a9427994.js,
/api/departments,departments,GET; OBSERVED_GET; UNKNOWN,24,24,raw/ilearn.thu.edu.tw/api/departments.json; raw/ilearn.thu.edu.tw/static/19619.6081b084.js; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/21137.a69eb96c.js; raw/ilearn.thu.edu.tw/static/27609.04e6959b.js; raw/ilearn.thu.edu.tw/static/28492.65731154.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/31552.691da904.js; raw/ilearn.thu.edu.tw/static/34671.c9d36f7b.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js,200
/api/cc-license/groups,cc-license,GET; OBSERVED_GET; POST; PUT,21,21,raw/ilearn.thu.edu.tw/api/cc-license/groups.json; raw/ilearn.thu.edu.tw/static/14615.8c38d7d4.js; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/25753.6c691880.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/32177.f2bc5d50.js; raw/ilearn.thu.edu.tw/static/34423.a5cefcd5.js; raw/ilearn.thu.edu.tw/static/38480.defdcfac.js; raw/ilearn.thu.edu.tw/static/50559.79503daf.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js,200
/api/classroom-exams/,classroom-exams,DELETE; GET; OBSERVED_GET; POST; PUT; UNKNOWN,21,10,raw/ilearn.thu.edu.tw/api/classroom-exams/index.json; raw/ilearn.thu.edu.tw/static/19446.6fdaa169.js; raw/ilearn.thu.edu.tw/static/28509.a0b2d0f0.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/56488.5dafa7c7.js; raw/ilearn.thu.edu.tw/static/76445.efefe93a.js; raw/ilearn.thu.edu.tw/static/82017-1e48dc04.js; raw/ilearn.thu.edu.tw/static/83727.aab0cb48.js; raw/ilearn.thu.edu.tw/static/88788.161d6b6a.js,404
/api/resource-groups/,resource-groups,DELETE; GET; OBSERVED_GET; POST; PUT,21,6,raw/ilearn.thu.edu.tw/api/resource-groups/index.json; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/50446.4b9b0bcc.js; raw/ilearn.thu.edu.tw/static/63756-b6ed5817.js; raw/ilearn.thu.edu.tw/static/70619-686c4819.js; raw/ilearn.thu.edu.tw/static/js/main-portal-cc072a5a.js,404
